Error Type,Minimal Pair,Flag/Explain
Tense backshift,"""He said he is tired"" → ""He said he was tired""",
Pronoun shift,"""She said, 'I am ready'"" → ""She said she was ready""",
Time expression changes,"""He said, 'I'll do it tomorrow'"" → ""He said he would do it the next day""",
"""Although...but""","""Although it's late, but I'll stay"" → ""Although it's late, I'll stay""",
"""Because...so""","""Because I'm tired, so I'll rest"" → ""Because I'm tired, I'll rest""",
Run-on with coordinator,"""I like tea I drink it daily"" → ""I like tea, and I drink it daily""",
Missing apostrophe,"""Johns car"" → ""John's car""",
Its vs. it's,"""Its raining"" → ""It's raining""",
What-cleft errors,"""The thing what I need is..."" → ""What I need is...""",
It-cleft word order,"""It was John who he came"" → ""It was John who came""",
Pseudo-cleft construction,"""What I do is I go"" → ""What I do is go""",
Wrong emphasis structure,"""It is that I need help"" → ""It is help that I need""",
Missing ellipsis,"""I can't play tennis, but she can play tennis"" → ""I can't play tennis, but she can""",
Incorrect substitution,"""I have three books and she has three books too"" → ""I have three books and she does too""",
Inappropriate ellipsis,"""Although tired, went home"" → ""Although tired, I went home""",
Dangling participle,"""Walking down the street, the trees were beautiful"" → ""Walking down the street, I saw beautiful trees""",
Wrong participle form,"""Been tired, I slept early"" → ""Being tired, I slept early""",
Missing subject match,"""Having finished the work, the TV was turned on"" → ""Having finished the work, I turned on the TV""",
Present vs. perfect participle,"""Finishing my work, I left"" → ""Having finished my work, I left""",
"Missing subjunctive after ""suggest""","""I suggest that he goes"" → ""I suggest that he go""",
"Subjunctive with ""insist""","""She insists that he comes"" → ""She insists that he come""",
"""It's time"" structure","""It's time you go"" → ""It's time you went""",
"""I'd rather"" structure","""I'd rather you will come"" → ""I'd rather you came""",
"""If I were"" vs. ""If I was""","""If I was rich"" → ""If I were rich""",
Inappropriate certainty,"""This is the reason"" → ""This may/might be the reason""",
Missing hedging in academic writing,"""proves that"" → ""suggests that""",
Over-hedging,"""It seems that it appears that perhaps"" → ""It appears that""",
Wrong boosting adverb,"""very proves"" → ""clearly proves""",
Verb + noun,"""do a mistake"" → ""make a mistake""",
Adjective + noun,"""strong tea"" vs. ""powerful tea"" → ""strong tea""",
Verb + preposition,"""discuss about"" → ""discuss""",
"""Make"" vs. ""do""","""make homework"" → ""do homework""",
"""Say"" vs. ""tell""","""say me"" → ""tell me""",
Time expressions,"""do time"" → ""spend time""",
Business collocations,"""do business"" vs. ""make business"" → ""do business""",
Informal markers in academic writing,"""Plus"" → ""Furthermore""",
Negative inversion word order,"""Never I have been"" → ""Never have I been""",
"""Seldom"" inversion","""Seldom we see"" → ""Seldom do we see""",
"""Rarely"" inversion","""Rarely she goes"" → ""Rarely does she go""",
"""Not only"" inversion","""Not only he is smart"" → ""Not only is he smart""",
"""Only after"" inversion","""Only after I left, I realized"" → ""Only after I left did I realize""",
Passive infinitive,"""It needs to repair"" → ""It needs to be repaired""",
Passive gerund,"""I remember someone telling me"" → ""I remember being told""",
Have something done,"""I cut my hair"" → ""I had my hair cut""",
Get passive,"""The window got broke"" → ""The window got broken""",
Passive with reporting verbs,"""People say that he is rich"" → ""He is said to be rich""",
Double passive,"""is wanted to be done"" → ""wants to be done""",
Clause as subject with wrong verb,"""What he said are wrong"" → ""What he said is wrong""",
"""That"" clause subject","""That he came are surprising"" → ""That he came is surprising""",
"""Whether"" clause","""Whether we go depend on weather"" → ""Whether we go depends on weather""",
Wrong word order,"""Is what you need this"" → ""This is what you need""",
Mixed conditional,"""If I studied, I will pass"" → ""If I had studied, I would have passed""",
"""Unless"" as conditional","""Unless you don't go"" → ""Unless you go""",
Literal translation,"""eat medicine"" → ""take medicine""",
"""Open/close"" for devices","""open the light"" → ""turn on the light""",
Age expression,"""I am 25 years old already"" → ""I am 25 years old""",
Time duration,"""I know him for 5 years"" → ""I have known him for 5 years""",
"""Have"" vs. ""there is""","""Here has a problem"" → ""There is a problem""",
Question tags,"""You like it, isn't it?"" → ""You like it, don't you?""",
"Existential ""got""","""Got people inside"" → ""There are people inside""",
Duration structures,"""I am here since Monday"" → ""I have been here since Monday""",
"""For"" vs. ""since""","""I waited since two hours"" → ""I waited for two hours""",
"""By"" vs. ""until""","""I will finish until tomorrow"" → ""I will finish by tomorrow""",
"""During"" vs. ""while""","""During I was sleeping"" → ""While I was sleeping""",
"""Within"" time expressions","""within five days ago"" → ""five days ago""",
Wrong register,"""very big problem"" → ""significant issue"" (formal)",
Imprecise vocabulary,"""good"" overuse → specific alternatives",
Word form errors,"""We need to analysis"" → ""We need to analyze""",
Noun vs. adjective,"""success person"" → ""successful person""",
"""Despite"" + clause","""Despite he was tired"" → ""Despite being tired""",
"""Although"" + noun","""Although the rain"" → ""Although it was raining""",
"""Because of"" + clause","""Because of he was late"" → ""Because he was late""",
Wrong subordinator,"""Despite of"" → ""Despite""",
Overuse of verbs,"""The company reduced prices"" → ""The price reduction""",
Missing nominalisation in formal writing,"""We investigated and found"" → ""Our investigation found""",
Wrong noun form,"""The analyse shows"" → ""The analysis shows""",
"""Each"" vs. ""every""","""Each students"" → ""Each student"" / ""Every student""",
"""Much"" vs. ""many"" with comparatives","""much people"" → ""many more people""",
Quantifier agreement,"""A few staffs are"" → ""A few staff members are""",
Modifier position,"""only I saw him"" → ""I only saw him"" (meaning difference)",
Double intensifier,"""very extremely"" → ""extremely""",
Embedded question tense,"""Do you know what is the time?"" → ""Do you know what the time is?""",
Tag question with modal,"""You should go, shouldn't it?"" → ""You should go, shouldn't you?""",
Subject question,"""Who did go?"" → ""Who went?""",
Missing definite article,"""I went to bank"" → ""I went to the bank""",
Missing indefinite article,"""She is teacher"" → ""She is a teacher""",
Unnecessary article with plural generalizations,"""The dogs are loyal animals"" → ""Dogs are loyal animals""",
Article with proper nouns,"""The Hong Kong is busy"" → ""Hong Kong is busy""",
Article with abstract nouns,"""The happiness is important"" → ""Happiness is important""",
Zero article with institutions (idiomatic),"""She is at the home"" → ""She is at home""",
Missing plural marker,"""five book"" → ""five books""",
Double plural,"""many peoples"" → ""many people""",
Irregular plural,"""childs"" → ""children""",
Uncountable noun pluralized,"""informations"" → ""information""",
Asian-specific plurals,"""staffs"" → ""staff""",
Missing past tense,"""I see him yesterday"" → ""I saw him yesterday""",
Simple past vs. present perfect,"""I already finished"" → ""I have already finished""",
Present perfect with specific time,"""I have seen him yesterday"" → ""I saw him yesterday""",
Progressive with stative verbs,"""I am knowing the answer"" → ""I know the answer""",
Future with present simple,"""I go tomorrow"" → ""I will go tomorrow""",
Past perfect confusion,"""After I ate, I had gone home"" → ""After I ate, I went home""",
Present simple for habits,"""He is always coming late"" → ""He always comes late""",
"Singular subject, plural verb","""She like coffee"" → ""She likes coffee""",
Collective noun agreement,"""The team are winning"" → ""The team is winning""",
There is/are errors,"""There is many people"" → ""There are many people""",
Neither/either agreement,"""Neither of them are correct"" → ""Neither of them is correct""",
Adjective after noun,"""shoes red"" → ""red shoes""",
Adverb placement with frequency,"""I always am late"" → ""I am always late""",
Question word order,"""Why you did that?"" → ""Why did you do that?""",
Indirect questions,"""I wonder where is he"" → ""I wonder where he is""",
Negative inversion,"""Never I have seen"" → ""Never have I seen""",
Time prepositions,"""at Monday"" → ""on Monday""",
Location prepositions,"""arrive to the office"" → ""arrive at the office""",
Dependent prepositions,"""discuss about"" → ""discuss""",
Transport prepositions,"""by the bus"" → ""by bus""",
"""Different from/than/to""","""different than you"" → ""different from you""",
Phrasal verb prepositions,"""look up it"" → ""look it up""",
Quantifiers with uncountables,"""many furniture"" → ""much furniture""",
"""Less"" vs. ""fewer""","""less people"" → ""fewer people""",
Amount vs. number,"""amount of students"" → ""number of students""",
Uncountable treated as countable,"""an advice"" → ""advice"" or ""a piece of advice""",
"""Equipment/machinery/luggage"" errors","""equipments"" → ""equipment""",
Missing subject pronoun,"""Is very important"" → ""It is very important""",
Unclear antecedent,"""Mary told Jane she was wrong"" → needs clarification",
Reflexive pronoun misuse,"""myself will attend"" → ""I will attend""",
Object pronoun as subject,"""Me and him went"" → ""He and I went""",
Missing relative pronoun,"""The book I bought it is good"" → ""The book I bought is good""",
Extra pronoun in relative clause,"""The person who he came"" → ""The person who came""",
Which vs. that,"""The people which attended"" → ""The people who/that attended""",
Preposition position,"""The house which I live in it"" → ""The house which I live in""",
Double modals,"""will can go"" → ""will be able to go""",
"Modal + infinitive with ""to""","""can to do"" → ""can do""",
Past modals,"""should went"" → ""should have gone""",
Tentative modals for politeness,"""You must attend"" → ""You should attend"" (in casual contexts)",
First conditional tense,"""If I will see him, I tell him"" → ""If I see him, I will tell him""",
Second conditional tense,"""If I will be rich, I would travel"" → ""If I were rich, I would travel""",
Mixed conditional errors,"""If I studied, I will pass"" → ""If I had studied, I would have passed""",
"""Enjoy/finish/avoid + infinitive""","""enjoy to swim"" → ""enjoy swimming""",
"""Want/hope/decide + gerund""","""want going"" → ""want to go""",
Missing auxiliary,"""The report written yesterday"" → ""The report was written yesterday""",
Wrong form,"""The email was sent to I"" → ""The email was sent to me""",
Unnecessary passive,"""The meeting was attended by all staff"" → ""All staff attended the meeting""",
Agent misplacement,"""was written the report by John"" → ""The report was written by John""",
Double subjects,"""My mother she is a teacher"" → ""My mother is a teacher""",
Topic-comment structure,"""This matter I don't know"" → ""I don't know about this matter""",
Classifier remnants,"""one piece of car"" → ""one car""",
"Redundant ""there""","""There has a problem"" → ""There is a problem""",
"""More/very + comparative""","""more better"" → ""better""",
Wrong adjective sequence,"""Chinese old beautiful building"" → ""beautiful old Chinese building""",
Double negatives,"""I don't need nothing"" → ""I don't need anything""",
"""Not"" placement","""I not am going"" → ""I am not going""",
"""No"" vs. ""not""","""is no good"" → ""is not good""",
Incomplete comparisons,"""This is more better"" → ""This is better""",
"""As...as"" structure","""as tall than"" → ""as tall as""",
Double comparison,"""more easier"" → ""easier""",
Informal in professional,"""kinda"" → ""somewhat"" (professional context)",
Contractions in formal writing,"""don't"" → ""do not"" (formal documents)",
Overly formal in casual,"""I shall attend"" → ""I'll come"" (casual context)",
Run-on sentences,"""I went home I ate dinner"" → ""I went home, and I ate dinner""",
Comma splice,"""It's raining, I'll stay home"" → ""It's raining, so I'll stay home""",
Fragment,"""Because I was tired."" → ""I stayed home because I was tired""",
Misplaced modifier,"""Running quickly, the bus was missed"" → ""Running quickly, I missed the bus""",
Tense backshift,"""He said he is tired"" → ""He said he was tired""",
Pronoun shift,"""She said, 'I am ready'"" → ""She said she was ready""",
Time expression changes,"""He said, 'I'll do it tomorrow'"" → ""He said he would do it the next day""",
"""Although...but""","""Although it's late, but I'll stay"" → ""Although it's late, I'll stay""",
"""Because...so""","""Because I'm tired, so I'll rest"" → ""Because I'm tired, I'll rest""",
Run-on with coordinator,"""I like tea I drink it daily"" → ""I like tea, and I drink it daily""",
Missing apostrophe,"""Johns car"" → ""John's car""",
Its vs. it's,"""Its raining"" → ""It's raining""",
What-cleft errors,"""The thing what I need is..."" → ""What I need is...""",
It-cleft word order,"""It was John who he came"" → ""It was John who came""",
Pseudo-cleft construction,"""What I do is I go"" → ""What I do is go""",
Wrong emphasis structure,"""It is that I need help"" → ""It is help that I need""",
Missing ellipsis,"""I can't play tennis, but she can play tennis"" → ""I can't play tennis, but she can""",
Incorrect substitution,"""I have three books and she has three books too"" → ""I have three books and she does too""",
Inappropriate ellipsis,"""Although tired, went home"" → ""Although tired, I went home""",
Dangling participle,"""Walking down the street, the trees were beautiful"" → ""Walking down the street, I saw beautiful trees""",
Wrong participle form,"""Been tired, I slept early"" → ""Being tired, I slept early""",
Missing subject match,"""Having finished the work, the TV was turned on"" → ""Having finished the work, I turned on the TV""",
Present vs. perfect participle,"""Finishing my work, I left"" → ""Having finished my work, I left""",
"Missing subjunctive after ""suggest""","""I suggest that he goes"" → ""I suggest that he go""",
"Subjunctive with ""insist""","""She insists that he comes"" → ""She insists that he come""",
"""It's time"" structure","""It's time you go"" → ""It's time you went""",
"""I'd rather"" structure","""I'd rather you will come"" → ""I'd rather you came""",
"""If I were"" vs. ""If I was""","""If I was rich"" → ""If I were rich""",
Inappropriate certainty,"""This is the reason"" → ""This may/might be the reason""",
Missing hedging in academic writing,"""proves that"" → ""suggests that""",
Over-hedging,"""It seems that it appears that perhaps"" → ""It appears that""",
Wrong boosting adverb,"""very proves"" → ""clearly proves""",
Verb + noun,"""do a mistake"" → ""make a mistake""",
Adjective + noun,"""strong tea"" vs. ""powerful tea"" → ""strong tea""",
Verb + preposition,"""discuss about"" → ""discuss""",
"""Make"" vs. ""do""","""make homework"" → ""do homework""",
"""Say"" vs. ""tell""","""say me"" → ""tell me""",
Time expressions,"""do time"" → ""spend time""",
Business collocations,"""do business"" vs. ""make business"" → ""do business""",
Informal markers in academic writing,"""Plus"" → ""Furthermore""",
Negative inversion word order,"""Never I have been"" → ""Never have I been""",
"""Seldom"" inversion","""Seldom we see"" → ""Seldom do we see""",
"""Rarely"" inversion","""Rarely she goes"" → ""Rarely does she go""",
"""Not only"" inversion","""Not only he is smart"" → ""Not only is he smart""",
"""Only after"" inversion","""Only after I left, I realized"" → ""Only after I left did I realize""",
Passive infinitive,"""It needs to repair"" → ""It needs to be repaired""",
Passive gerund,"""I remember someone telling me"" → ""I remember being told""",
Have something done,"""I cut my hair"" → ""I had my hair cut""",
Get passive,"""The window got broke"" → ""The window got broken""",
Passive with reporting verbs,"""People say that he is rich"" → ""He is said to be rich""",
Double passive,"""is wanted to be done"" → ""wants to be done""",
Clause as subject with wrong verb,"""What he said are wrong"" → ""What he said is wrong""",
"""That"" clause subject","""That he came are surprising"" → ""That he came is surprising""",
"""Whether"" clause","""Whether we go depend on weather"" → ""Whether we go depends on weather""",
Wrong word order,"""Is what you need this"" → ""This is what you need""",
Mixed conditional,"""If I studied, I will pass"" → ""If I had studied, I would have passed""",
"""Unless"" as conditional","""Unless you don't go"" → ""Unless you go""",
Literal translation,"""eat medicine"" → ""take medicine""",
"""Open/close"" for devices","""open the light"" → ""turn on the light""",
Age expression,"""I am 25 years old already"" → ""I am 25 years old""",
Time duration,"""I know him for 5 years"" → ""I have known him for 5 years""",
"""Have"" vs. ""there is""","""Here has a problem"" → ""There is a problem""",
Question tags,"""You like it, isn't it?"" → ""You like it, don't you?""",
"Existential ""got""","""Got people inside"" → ""There are people inside""",
Duration structures,"""I am here since Monday"" → ""I have been here since Monday""",
"""For"" vs. ""since""","""I waited since two hours"" → ""I waited for two hours""",
"""By"" vs. ""until""","""I will finish until tomorrow"" → ""I will finish by tomorrow""",
"""During"" vs. ""while""","""During I was sleeping"" → ""While I was sleeping""",
"""Within"" time expressions","""within five days ago"" → ""five days ago""",
Wrong register,"""very big problem"" → ""significant issue"" (formal)",
Imprecise vocabulary,"""good"" overuse → specific alternatives",
Word form errors,"""We need to analysis"" → ""We need to analyze""",
Noun vs. adjective,"""success person"" → ""successful person""",
"""Despite"" + clause","""Despite he was tired"" → ""Despite being tired""",
"""Although"" + noun","""Although the rain"" → ""Although it was raining""",
"""Because of"" + clause","""Because of he was late"" → ""Because he was late""",
Wrong subordinator,"""Despite of"" → ""Despite""",
Overuse of verbs,"""The company reduced prices"" → ""The price reduction""",
Missing nominalisation in formal writing,"""We investigated and found"" → ""Our investigation found""",
Wrong noun form,"""The analyse shows"" → ""The analysis shows""",
"""Each"" vs. ""every""","""Each students"" → ""Each student"" / ""Every student""",
"""Much"" vs. ""many"" with comparatives","""much people"" → ""many more people""",
Quantifier agreement,"""A few staffs are"" → ""A few staff members are""",
Modifier position,"""only I saw him"" → ""I only saw him"" (meaning difference)",
Double intensifier,"""very extremely"" → ""extremely""",
Embedded question tense,"""Do you know what is the time?"" → ""Do you know what the time is?""",
Tag question with modal,"""You should go, shouldn't it?"" → ""You should go, shouldn't you?""",
Subject question,"""Who did go?"" → ""Who went?""",
Missing comma after introductory clause,"""After I finish I will go"" → ""After I finish, I will go""",
Semicolon misuse,"""I like tea; because it's relaxing"" → ""I like tea because it's relaxing""",
Colon usage,"""I need: milk and bread"" → ""I need milk and bread""",
Wrong demonstrative,"""this books"" → ""these books""",
Pronoun switch,"""One should do their best"" → ""One should do one's best""",
Wrong idiom form,"""in the other side"" → ""on the other hand""",
Email formulas,"""I am writing to inform that"" → ""I am writing to inform you that""",
"""Allow"" pattern","""allow me doing"" → ""allow me to do""",
"""Enable"" pattern","""enable him going"" → ""enable him to go""",
"""Prevent"" pattern","""prevent him to go"" → ""prevent him from going""",
"""Encourage"" pattern","""encourage to go"" → ""encourage someone to go""",
Directness in requests,"""Give me the report"" → ""Could you please provide the report?""",
Missing softeners,"""You are wrong"" → ""I'm afraid I disagree""",
Inappropriate modal use,"""You must come"" → ""Could you come?"" (request context)",
Serial verbs without coordination,"""I go buy food"" → ""I go to buy food"" / ""I will go and buy food""",
Motion + action verbs,"""Come eat dinner"" → ""Come and eat dinner""",
Give-type serial verbs,"""Give me eat"" → ""Let me eat""",
Multiple verbs without proper linking,"""I take go give him"" → ""I will take it and give it to him""",
"""Already"" placement","""I finish already my work"" → ""I have already finished my work""",
"Redundant ""already""","""I have already finished already"" → ""I have already finished""",
"""Just now"" vs. ""just""","""I just now saw him"" → ""I just saw him""",
"""Still"" with wrong tense","""I still didn't finish"" → ""I still haven't finished""",
Aspect marker transfer,"""I go first"" (leaving) → ""I'll go now"" / ""I'm leaving""",
Floating quantifier,"""The students all are here"" → ""The students are all here"" / ""All the students are here""",
Quantifier scope ambiguity,"""All students didn't come"" → ""Not all students came""",
Distributive quantifier,"""Each of them has own opinion"" → ""Each of them has their own opinion""",
Universal quantifier position,"""Books all are expensive"" → ""All books are expensive""",
Inseparable phrasal verbs,"""I ran into with John"" → ""I ran into John""",
Missing commas for non-restrictive,"""My brother who lives in London is a doctor"" → ""My brother, who lives in London, is a doctor""",
Wrong relative pronoun,"""My car, that is red, is new"" → ""My car, which is red, is new""",
Wrong reduction,"""The book writing by him"" → ""The book written by him""",
Incomplete reduction,"""The person is sitting there"" → ""The person sitting there""",
Active vs. passive participle,"""The letter writing yesterday"" → ""The letter written yesterday""",
Mixed structures in lists,"""I like swimming, to run, and biking"" → ""I like swimming, running, and biking""",
Parallel verb forms,"""She enjoys reading and to write"" → ""She enjoys reading and writing""",
Correlative conjunctions,"""Either you go or staying"" → ""Either you go or you stay""",
Comparison parallelism,"""I prefer walking to run"" → ""I prefer walking to running""",
Wrong appositive structure,"""The city Hong Kong"" → ""The city of Hong Kong"" / ""Hong Kong, the city,""",
Appositive agreement,"""My friends, a teacher, is here"" → ""My friend, a teacher, is here""",
Purpose clause form,"""I study for pass the exam"" → ""I study to pass the exam"" / ""I study in order to pass""",
"""So that"" clause","""I came early so that I can help"" → ""I came early so that I could help""",
Infinitive of purpose,"""For to learn English"" → ""To learn English""",
Object fronting without inversion,"""This book I like very much"" → needs stylistic appropriateness",
Resumptive pronouns,"""The man that I saw him"" → ""The man that I saw""",
Overuse of passive for topicalization,"""By the government it was decided"" → ""The government decided""",
Missing comma with vocative,"""Hello John"" → ""Hello, John""",
Vocative placement,"""John please help me"" → ""John, please help me""",
Tentative language,"""This proves"" → ""This suggests/indicates""",
Attribution language,"""According to the author said"" → ""According to the author"" / ""The author said""",
Reporting verbs,"""He said that"" → ""He argues/claims/suggests that""",
Citation integration,"""In the article 'Title' it says"" → ""Smith (2020) argues""",
Announce markers,"""I will now discuss"" → ""The following section discusses""",
Unsubstantiated evaluation,"""This is obviously true"" → needs hedging",
"""While"" as concessive","""While I agree, but I think"" → ""While I agree, I think""",
"""Even though"" + ""yet""","""Even though it's late, yet I'll go"" → ""Even though it's late, I'll go""",
"Causative ""make/let/have""","""I made him to go"" → ""I made him go""",
"""Let"" vs. ""allow""","""Let me to do"" → ""Let me do"" / ""Allow me to do""",
Perception verbs,"""I saw him to go"" → ""I saw him go"" / ""I saw him going""",
Coordinated clauses with ellipsis,"""I can swim and Mary dance"" → ""I can swim and Mary can dance""",
Manner with prepositional phrases,"""with carefulness"" → ""with care"" / ""carefully""",
"""By"" + gerund for method","""by to work hard"" → ""by working hard""",
"""Otherwise"" clause","""I studied, otherwise I would fail"" → ""I studied, otherwise I would have failed""",
Implicit conditionals,"""Without your help, I will fail"" → ""Without your help, I would fail""",
"""But for"" construction","""But for you, I will fail"" → ""But for you, I would fail""",
Broken formulaic sequences,"""in the contrast"" → ""by contrast"" / ""in contrast""",
"""There"" with wrong verb","""There have many people"" → ""There are many people""",
Definiteness restriction,"""There is the book on the table"" → ""The book is on the table""",
Extraposed subject,"""Is difficult to understand this"" → ""It is difficult to understand this""",
Wrong extraposition,"""It seems that it is clear"" → ""It seems clear"" (reduce redundancy)",
For-to constructions,"""It is important for him that he comes"" → ""It is important for him to come""",
Format,Error type — short description.,
Minimal pairs,I bought book yesterday. → I bought a book yesterday.,
Minimal pairs,an university → a university,
Minimal pairs,The love is important. → Love is important.,
Minimal pairs,a information → information ; the cars are expensive (when speaking generally) → cars are expensive,
Minimal pairs,three person → three people ; I have many homework. → I have much homework / a lot of homework.,
Minimal pairs,many advices → much advice / many pieces of advice,
Minimal pairs,two informations → two pieces of information,
Minimal pairs,He go to work. → He goes to work.,
Minimal pairs,The team are winning. → The team is winning. (flag as register option),
Minimal pairs,Yesterday I go to market. → Yesterday I went to the market.,
Minimal pairs,I study now. → I am studying now. ; I am knowing him. → I know him.,
Minimal pairs,I have seen him yesterday. → I saw him yesterday. ; I saw him since 2019. → I have seen him since 2019.,
Minimal pairs,I have been knowing him for years. → I have known him for years.,
Minimal pairs,I will meeting her tonight. → I'm meeting her tonight. ; It will rain tomorrow. vs It's going to rain. (flag usage),
Minimal pairs,You coming? → Are you coming? ; He not agree. → He does not agree.,
Minimal pairs,Does he can come? → Can he come?,
Minimal pairs,The letter wrote by Mary. → The letter was written by Mary.,
Minimal pairs,Mistakes were made. (formal) → I made a mistake. (if clarifying responsibility),
Minimal pairs,"If I will see him, I tell him. → If I see him, I'll tell him. ; If I had known, I would go. → If I had known, I would have gone.",
Minimal pairs,"If I were rich, I would travel next year. → If I were rich, I would travel now. / or adjust tense appropriately.",
Minimal pairs,The man which spoke to me. → The man who spoke to me.,
Minimal pairs,"My sister, who lives in London works here. → My sister, who lives in London, works here. (commas)",
Minimal pairs,Me and him went. → He and I went. ; Give it to I. → Give it to me.,
Minimal pairs,"John told Dave that he was wrong. → John told Dave, “You were wrong,” or John told Dave that Dave was wrong. (clarify)",
Minimal pairs,Its a problem. → It's a problem. ; The dog wagged it's tail. → The dog wagged its tail.,
Minimal pairs,I suggested to go. → I suggested going. ; I want studying. → I want to study.,
Minimal pairs,He speaks good. → He speaks well. ; A quickly reply → A quick reply.,
Minimal pairs,a red big car → a big red car,
Minimal pairs,very unique → unique / truly unique,
Minimal pairs,more better → better ; gooder → better ; the most funniest → the funniest,
Minimal pairs,She is taller then me. → She is taller than me. ; He is as tall then I am. → as tall as I am.,
Minimal pairs,I will meet you in 5pm. → at 5pm. ; I am good in tennis. → good at tennis. ; She arrived to Hong Kong. → arrived in Hong Kong.,
Minimal pairs,I wait the bus. → I waited for the bus.,
Minimal pairs,I often go sometimes. → I sometimes go. ; He speaks English well always. → He always speaks English well.,
Minimal pairs,I not can go. → I cannot / can't go.,
Minimal pairs,This book I finished. → I finished this book. (acceptable in some contexts but flag for register/clarity),
Minimal pairs,"I was tired, I went to bed. → I was tired, so I went to bed. or I was tired; I went to bed.",
Minimal pairs,"When we arrived. → When we arrived, the show had started. or We arrived.",
Minimal pairs,She likes apples she eats them. → She likes apples; she eats them.,
Minimal pairs,"My teacher John is here. → My teacher, John, is here. (if non-restrictive)",
Minimal pairs,The teachers lounge → The teachers' lounge (if plural possessive) ; it's temperature → its temperature,
Minimal pairs,i live in hong kong. → I live in Hong Kong.,
Minimal pairs,make a decision vs do a decision → do → make,
Minimal pairs,open the light → turn on the light ; long time no see (casual OK) → It's been a long time since we last met. (professional),
Minimal pairs,"Give me the report. → Could you send me the report, please?",
Minimal pairs,This is wrong. → I think there might be an issue with this. (flag register),
Minimal pairs,You're wrong. → I think there's a problem here.,
Minimal pairs,"He studied. He failed. → He studied hard; however, he failed.",
Minimal pairs,"He said, “I am tired.” → He said he is tired. → He said he was tired. (depending on context)",
Minimal pairs,"You are coming, isn't it? → You're coming, aren't you?",
Minimal pairs,I didn't see nothing. → I didn't see anything.,
Minimal pairs,break a rice → break a leg (idiom misuse),
Minimal pairs,a cotton small red shirt → a small red cotton shirt,
Minimal pairs,A 50% of people → 50% of people ; a half of the students → half of the students / a half (context),
Minimal pairs,turn the lights off vs turn off the lights (both okay if separable) ; look after vs look for confusion: I look after my keys. → I look for my keys.,
Minimal pairs,revert back → revert ; advance planning → planning,
Minimal pairs,"If required, contact. → If required, contact me/us at...",
Minimal pairs,It is John who I met. → correct cleft: It was John whom I met. (depends on focus),
Minimal pairs,He tall. → He is tall.,
Minimal pairs,I go school yesterday. → I went to school yesterday.,
Minimal pairs,three person → three people ; two piece of advice → two pieces of advice,
Minimal pairs,"This cake, I like. → I like this cake. (flag for register/closeness to Cantonese)",
Minimal pairs,Send the report. → Please send the report. or Could you send the report?,
Minimal pairs,He arrived the station. → He arrived at the station. ; She broke the vase. (active vs She was broken.),
Minimal pairs,Can't / won't in formal email → cannot / will not (flag register),
Minimal pairs,"- to write reports - checking emails - meeting clients → make all verbs parallel: writing, checking, meeting",
Minimal pairs,Chinese full-width comma used in English sentence → flag for typographic correctness.,
